participant,exclusive,inclusive
exp001,18.1218771329594,35.0971781080416
exp002,20.212098932592,44.2859062263394
exp003,16.9135445993082,39.8177697209567
exp004,9.47638389630795,28.5209087282208
exp005,5.88163021115546,21.3774200983977
exp006,17.479447414529,34.864942706549
exp007,8.35744153640448,39.6912865913085
exp008,9.85317033029182,33.4982867021711
exp009,13.4765547194408,31.0641999969946
exp010,10.3870140931782,18.5087572721962
exp011,13.4209616156675,16.5901287300674
exp012,13.976143761304,36.2669666241353
exp013,4.06251240770601,32.2438580884575
exp014,12.4480560173337,23.6627688812608
exp015,7.97414879481522,24.3601790741691
exp016,0.163406191468639,16.8149049977489
exp017,9.54352335767732,12.3181321897536
exp018,8.29821724998853,28.8510741467834
exp019,0.534137714537532,25.7906155412103
exp020,12.821434465371,37.8777580858204
exp021,12.942111754732,27.0316884024422
