participant,exclusive,inclusive
cur001,7.48400517588281,23.2319909998333
cur002,9.95083148004579,26.9689851855576
cur003,10.1360116799006,29.0487885160807
cur004,9.03238362896498,9.57804940517686
cur005,15.0867868310044,18.6471608738748
cur006,11.8798722135209,22.6709758393416
cur007,13.3849771960584,13.0291844711178
cur008,10.8009707030721,22.4675716766078
cur009,8.63550381089849,24.1486005747825
cur010,-0.264136096685059,27.8904485139832
cur011,9.41577154752216,35.4291020039275
cur012,9.72235003823483,17.4260007168302
cur013,9.56069178007441,21.2203526155284
cur014,11.6252090917299,15.7392205419096
cur015,7.5402330317099,23.8556084265255
cur016,2.61995946482848,22.4616651870357
cur017,4.23261295174525,28.952726470995
cur018,3.649012996038,12.7505379850812
cur019,13.369926455549,27.4076877252607
cur020,5.16287277247403,19.0672266936765
